"rank","Player","GP","tau","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
420,"RS Bopara",109,3.07530276001337,2.95188469643685,3.20800177766665,421,271,567,296,0,0
421,"Sandeep Goud",30,3.07417180141496,2.84728440254945,3.31133932135726,420.5,185.85,661,475.15,0,0
422,"AJ Lamb",118,3.07325213174526,2.94943741988306,3.2002141693118,420,287,559,272,0,0
423,"SA Edwards",64,3.07141220598563,2.92508983660475,3.22099093076502,423.5,267.95,584,316.05,0,0
424,"RDB Croft",36,3.0713847756821,2.83271562512229,3.32942274295128,423,177.975,678.025,500.05,0,0
425,"JDS Neesham",65,3.07116810032932,2.86166167970105,3.26793085139883,424,215.975,650.125,434.15,0,0
426,"S Dhawan",164,3.07107251980611,2.95123552757396,3.18587569433516,427,293.975,555.1,261.125,0,0
427,"PVD Chameera",36,3.07046323148778,2.84376267789463,3.31886200086412,430.5,178.975,671,492.025,0,0
428,"TP Ura",61,3.068277324425,2.90620033127304,3.2348054317705,424,253,617,364,0,0
429,"J Charles",58,3.06766637765904,2.91570340706549,3.23990511520882,431,252,602,350,0,0
430,"KM Dabengwa",34,3.06689892450632,2.8316724830735,3.28231908551019,428,213.975,667.075,453.1,0,0
431,"Nasir Hossain",52,3.06652059976147,2.86163028298012,3.29424016422414,428.5,193.925,654,460.075,0,0
432,"JE Taylor",42,3.06571174089277,2.81521362446009,3.29906338138302,435,186.925,691,504.075,0,0
433,"DM de Silva",82,3.06456259988825,2.914985444244,3.22901514222913,435,261.9,597,335.1,0,0
434,"Aqib Ilyas",30,3.06451267524324,2.87274712287202,3.24777492345807,423,247,637.05,390.05,0,0
435,"Muhammad Waseem",61,3.06381225991612,2.89452497988756,3.22671038068399,427,257.875,618.025,360.15,0,0
436,"A Dutt",38,3.06360882758077,2.73982358001197,3.45008266105776,455,93,733.025,640.025,0,0.004
437,"AA Donald",38,3.06311972407833,2.71251316680418,3.45740748474088,453.5,88.925,747,658.075,0,0.002
438,"SM Patil",42,3.06191156305512,2.88021069301885,3.2567668983319,439,238.975,626.125,387.15,0,0
439,"DJ Nash",53,3.06122799504928,2.86946046077871,3.25675772685554,439,230.9,638.025,407.125,0,0
440,"NR Mongia",95,3.06070026991219,2.91901402121758,3.22643057217582,439,258.95,590.15,331.2,0,0
441,"DS Airee",59,3.06015869094359,2.85063267035202,3.30121261978724,443,201.925,652.025,450.1,0,0
442,"AR Cusack",47,3.05951841755865,2.85707037850983,3.26016225015182,438,231,651.125,420.125,0,0
443,"JM Bairstow",98,3.05938243103632,2.88981439088925,3.247159550264,440,243,631.025,388.025,0,0
