"rank","Player","GP","alpha","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
636,"Saleem Yousuf",63,3.01320942351004,2.70006390784284,3.35441815535896,624,391.925,735.05,343.125,0,0
637,"Gulbadin Naib",80,3.01060321442432,2.7229351658637,3.29917935697157,624,443.9,728,284.1,0,0
638,"AU Rashid",83,3.00854231640527,2.66716978999506,3.36214375885704,626.5,394.925,744,349.075,0,0
639,"K Rabada",44,3.00520755027485,2.57396254443398,3.43910778089422,625,326.95,764.025,437.075,0,0
640,"AS Joseph",46,3.00303935806429,2.58585972137524,3.43545484177124,631,320.925,759.025,438.1,0,0
641,"AR White",46,3.00192982735908,2.68830929139277,3.31439880225854,628,434,739.025,305.025,0,0
642,"UDU Chandana",110,3.00005619435401,2.7465041636105,3.27966605688001,630,454.975,723.025,268.05,0,0
643,"S Lee",35,2.99942162986385,2.61728292270203,3.45441983281589,632.5,316.75,753.025,436.275,0,0
644,"C White",40,2.99667718420472,2.6155793636307,3.39220397101147,628,361.975,753.05,391.075,0,0
645,"DA Marillier",44,2.99539979083202,2.63424031168226,3.41020094839327,634,354.675,751.025,396.35,0,0
646,"MN Waller",72,2.99510762040119,2.69847221406239,3.31265702826748,634,428.975,734,305.025,0,0
647,"DR Smith",94,2.99472116848083,2.71197451753633,3.29851485962683,633,443.975,732.025,288.05,0,0
648,"RC Russell",31,2.99395988785092,2.53004891745335,3.44620042754279,632.5,339.775,771.025,431.25,0,0
649,"J Botha",50,2.99350903760159,2.63000758381061,3.36993047253072,632,377.95,750,372.05,0,0
650,"CM Spearman",64,2.99020821806204,2.60355444210076,3.36206307943717,630.5,391.95,760.05,368.1,0,0
651,"KD Mills",97,2.9892998763787,2.69291910944194,3.32322601602095,634,421.925,736,314.075,0,0
652,"RS Madugalle",56,2.98435511802265,2.67674273960701,3.31072581180738,635,431.95,739,307.05,0,0
653,"CC Lewis",41,2.98353053646394,2.55558179599857,3.43823872405461,641,335.7,768,432.3,0,0
654,"TN de Grooth",38,2.98140251829569,2.60072780328667,3.37323149297321,637,372.975,756.025,383.05,0,0
655,"Abdul Qadir",67,2.97283266785049,2.62377968534601,3.33776250402427,643,413.95,751.025,337.075,0,0
656,"RM Haq",45,2.96686049074953,2.59669965568982,3.33018190874707,639.5,412.975,759,346.025,0,0
657,"Karan KC",45,2.96659912779081,2.61024083401218,3.33691977272317,642,413.975,757.025,343.05,0,0
